MUTATO_KOD;MUTATO_FOCSOP_MEGNEV;MUTATO_MEGNEV
TYWJ013;Egészségügy, szociális ellátás;A háziorvosoknál nyilvántartott ischaemiás szívbetegek (I20–I25) tízezer azonos korú lakosra jutó aránya a 19 éves és idősebb korosztályokban
TYWK303;Oktatás;Felsőfokú oklevelet szerzettek a nappali képzésben a 22 évesek százalékában, %
TYWM001;Mezőgazdaság – Gazdaságszerkezeti összeírás;25 km²-re jutó gazdaságok száma
TYWM002;Mezőgazdaság – Gazdaságszerkezeti összeírás;25 km²-re jutó éves munkaerőegység
TYWM101;Mezőgazdaság – Gazdaságszerkezeti összeírás;100 ha mezőgazdasági területre jutó szarvasmarha
TYWM102;Mezőgazdaság – Gazdaságszerkezeti összeírás;100 ha mezőgazdasági területre jutó sertés
TYWM103;Mezőgazdaság – Gazdaságszerkezeti összeírás;100 ha mezőgazdasági területre jutó tyúk
TYWM104;Mezőgazdaság – Gazdaságszerkezeti összeírás;100 ha mezőgazdasági területre jutó baromfi
TYWM105;Mezőgazdaság – Gazdaságszerkezeti összeírás;100 ha mezőgazdasági területre jutó juh
TYWM106;Mezőgazdaság – Gazdaságszerkezeti összeírás;100 ha mezőgazdasági területre jutó kecske
TYWM107;Mezőgazdaság – Gazdaságszerkezeti összeírás;100 ha mezőgazdasági területre jutó állategység
TYWM108;Mezőgazdaság – Gazdaságszerkezeti összeírás;1 gazdaságra jutó állategység
TYWM201;Mezőgazdaság – Gazdaságszerkezeti összeírás;Szántóterület aránya a mezőgazdasági területből
TYWM202;Mezőgazdaság – Gazdaságszerkezeti összeírás;Szőlőterület aránya a mezőgazdasági területből
TYWM203;Mezőgazdaság – Gazdaságszerkezeti összeírás;Gyümölcsös terület aránya a mezőgazdasági területből
TYWM204;Mezőgazdaság – Gazdaságszerkezeti összeírás;Gyepterület aránya a mezőgazdasági területből
TYWM205;Mezőgazdaság – Gazdaságszerkezeti összeírás;Mezőgazdasági területet használó gazdaságok átlagos birtokmérete (egy gazdaságra jutó mezőgazdasági terület)
TYWM301;Mezőgazdaság – Gazdaságszerkezeti összeírás;Alma aránya a gyümölcsös területből
TYWM302;Mezőgazdaság – Gazdaságszerkezeti összeírás;Szilva aránya a gyümölcsös területből
TYWM303;Mezőgazdaság – Gazdaságszerkezeti összeírás;Meggy aránya a gyümölcsös területből
TYWM304;Mezőgazdaság – Gazdaságszerkezeti összeírás;Kajszi aránya a gyümölcsös területből
TYWM305;Mezőgazdaság – Gazdaságszerkezeti összeírás;Őszibarack aránya a gyümölcsös területből
TYWM401;Mezőgazdaság – Gazdaságszerkezeti összeírás;Búza részaránya a szántóterületből
TYWM402;Mezőgazdaság – Gazdaságszerkezeti összeírás;Kukorica részaránya a szántóterületből
TYWM403;Mezőgazdaság – Gazdaságszerkezeti összeírás;Napraforgó részaránya a szántóterületből
TYWM404;Mezőgazdaság – Gazdaságszerkezeti összeírás;Repce részaránya a szántóterületből
TYWM405;Mezőgazdaság – Gazdaságszerkezeti összeírás;Árpa részaránya a szántóterületből
TYWM501;Mezőgazdaság – Gazdaságszerkezeti összeírás;Gazdaságszám
TYWM502;Mezőgazdaság – Gazdaságszerkezeti összeírás;Standard termelési érték, egy gazdaságra
TYWM503;Mezőgazdaság – Gazdaságszerkezeti összeírás;Standard termelési érték
TYWM504;Mezőgazdaság – Gazdaságszerkezeti összeírás;Szántó terület
TYWM505;Mezőgazdaság – Gazdaságszerkezeti összeírás;Gyümölcsös
TYWM506;Mezőgazdaság – Gazdaságszerkezeti összeírás;Szőlő
TYWM507;Mezőgazdaság – Gazdaságszerkezeti összeírás;Gyep
TYWM508;Mezőgazdaság – Gazdaságszerkezeti összeírás;Szarvasmarha
TYWM509;Mezőgazdaság – Gazdaságszerkezeti összeírás;Sertés
TYWM510;Mezőgazdaság – Gazdaságszerkezeti összeírás;Juh
TYWM511;Mezőgazdaság – Gazdaságszerkezeti összeírás;Kecske
TYWM512;Mezőgazdaság – Gazdaságszerkezeti összeírás;Tyúkféle
TYWM513;Mezőgazdaság – Gazdaságszerkezeti összeírás;Lúd
TYWM514;Mezőgazdaság – Gazdaságszerkezeti összeírás;Kacsa
TYWM515;Mezőgazdaság – Gazdaságszerkezeti összeírás;Pulyka
TYWM516;Mezőgazdaság – Gazdaságszerkezeti összeírás;Házinyúl
TYWO001;Mezőgazdaság - 2017. évi ültetvény összeírás;Alma ültetvény terület
TYWO002;Mezőgazdaság - 2017. évi ültetvény összeírás;Bodza ültetvény terület
TYWO003;Mezőgazdaság - 2017. évi ültetvény összeírás;Cseresznye ültetvény terület
TYWO004;Mezőgazdaság - 2017. évi ültetvény összeírás;Dió ültetvény terület
TYWO005;Mezőgazdaság - 2017. évi ültetvény összeírás;Kajszi ültetvény terület
